Арт. Изделия|Название|Комментарий|Цена рекомендованная в евро|Производитель|Категория|,
10130M2TX (VER.351)|TX 10.130 (220 В) БЕЗ АКСЕССУАРОВ|30-130бар,300-600л/ч,3200Вт,220В,1400об,BY-PASS,46кг|703,30 €|1|1|,,,,,
13180M3TX (VER.351)|TX 13.180 (380 В) БЕЗ АКСЕССУАРОВ|30-180бар,390-780л/ч,5000Вт,380В,2800об,BY-PASS,46кг|703,30 €|1|1|,,,,,
131803 TSX (VER.351)|TSX 13.180 (380 В) БЕЗ АКСЕССУАРОВ|30-180бар,390-780л/ч,5000Вт,380В,2800об,BY-PASS,46кг|703,30 €|1|1|,,,,,
30014183 TX|TX 300 14.180 (380 В)|30-180бар,420-840л/ч,5500Вт,380В,1450об,TOTAL-STOP,61кг|1 004,90 €|1|1|,,,,,
131803 М (VER.007)*|M 13.180 Моноблок (АВД без нагрева воды) 380 В|Напряжение питания 380 В,Давление (бар) 30-180,Производительность (л/ч) 780 л/ч,Мощность 5,0 кВт Обороты двигателя 2800 об/мин Система управления BY-PASS (*Аппарат поставляется без шланга,пистолета и аксессуаров)|640,9|1|2|,,,,,,
101302 М (VER.007)*|M 10.130 Моноблок (АВД без нагрева воды) 220 В|Напряжение питания 220 В,Давление (бар) 30-130,Производительность (л/ч) 600 л/ч,Мощность 3,2 кВт Обороты двигателя 1400 об/мин Система управления BY-PASS (*Аппарат поставляется без шланга,пистолета и аксессуаров)|640,9|1|2|,,,,,,
88|Cальники выс.давл. для Elite 3х3 шт.(Kit 88)||30,485|1|3|
69|Cальники выс.давл. для R.Press 3х3 шт.(Kit 69)||41,379|1|3|
123|Комплект клапанов для Elite (28508) KIT 123||27,469|1|3|
1|Комплект клапанов для Royal Press (17859) KIT 01||30,043|1|3|
23|Комплект сальников 3шт. KIT 23 (GUGO 01001)||10,79|1|3|
137|Рем.комплект рег-ра давления Elite (KIT 137)||45,201|1|3|
28|Ремкомплект (18579 KTRI) (KIT 28)||33,956|1|3|
40009|Поршень (керамическая втулка) для Elite (09319)||21,879|1|3|
96932700|Колесо для TX,TSX||18,512|1|3|,,,,,,,,,,
23017851|Корпус для TSX||44,928|1|3|
ZKW32-000|Регулятор давления W 3.2 (E2D2013,E2B2014,E3B2515,E3B2121)||83,304|1|4|,,,,,,,,
34024101|KIT 241 Рем.комплект регулятора давления W 3.2||38,558|1|4|
34026901|KIT 269 Рем.комплект клапанов (E2D2013,E2B2014,E3B2515,E3B2121)||33,423|1|4|,,,,,,,,
34027101|KIT 271 Рем.комплект колец (E2D2013,E2B2014,E3B2515,E3B2121)||11,375|1|4|,,,,,,,,
34027301|KIT 273 Рем.комплект сальников (E2D2013)||39,481|1|4|
34027401|KIT 274 Рем.комплект сальников (E2B2014)||39,806|1|4|
34027801|KIT 278 Рем.комплект рег.давления (E2D2013,E2B2014,E3B2515,E3B2121)||54,873|1|4|,,,,,,,,
34028501|KIT 285 Рем.комплект сальников (E3B2515)||44,226|1|4|
34028601|KIT 286 Рем.комплект сальников (E3B2121)||44,226|1|4|
90384700|Кольцо E2D2013,E2B2014,E3B2515,E3B2121||0,377|1|4|,,,,,,,,
90359300|Кольцо E2D2013,E2B2014,E3B2515,E3B2121||0,299|1|4|,,,,,,,,
90391300|Кольцо уплотнительное E3B2515,E3B2121||0,78|1|4|,,,,,,,,,,
97568000|Кольцо уплотнительное E3B2515,E3B2121||2,041|1|4|,,,,,,,,,,
97597800|Кольцо уплотнительное E3B2515,E3B2121||17,16|1|4|,,,,,,,,,,
91833100|Подшипник E2D2013,E2B2014||33,488|1|4|,,,,,,,,,,
91837500|Подшипник E3B2515,E3B2121||29,484|1|4|,,,,,,,,,,
58040109|Поршень D.15 E2D2013||25,272|1|4|
58040209|Поршень D.18 E2B2014||25,272|1|4|
59040009|Поршень D.20 E3B2515||26,325|1|4|
59040109|Поршень D.22 E3B2121||26,325|1|4|
90409700|Уплотнение E2D2013,E2B2014||0,754|1|4|,,,,,,,,,,
90164100|Уплотнение E2D2013,E2B2014||6,214|1|4|,,,,,,,,,,
90392550|Уплотнение E2D2013,E2B2014||2,106|1|4|,,,,,,,,,,
58150074|Фланец картера E2D2013,E2B2014||4,849|1|4|,,,,,,,,,,
58030022|Шатун E2D2013,E2B2014||22,113|1|4|,,,,,,,,,,
59030001|Шатун E3B2515,E3B2121||30,433|1|4|,,,,,,,,,,
97734000|Шпонка шатуна E2D2013,E2B2014||4,004|1|4|,,,,,,,,,,
97739900|Шпонка шатуна E3B2515,E3B2121||4,108|1|4|,,,,,,,,,,
58050066|Шток шатуна E2D2013,E2B2014||23,699|1|4|,,,,,,,,,,
59050066|Шток шатуна E3B2515,E3B2121||26,325|1|4|,,,,,,,,,,
98210500|Щуп масла E2D2013,E2B2014,E3B2515,E3B2121||4,004|1|4|,,,,,,,,
36333770|Шайба регулятора давления W 3.2||10,192|1|4|
94737100|Пружина регулятора давления W 3.2||3,978|1|4|
36336066|Поршень регулятора давления W 3.2||9,594|1|4|
36336166|Шарик клапана регулятора давления W 3.2||5,85|1|4|
36334466|Седло клапана регулятора давления W 3.2||4,953|1|4|
36334070|Винт регулятора давления W 3.2||10,946|1|4|
36334170|Винт регулятора давления W 3.2||9,074|1|4|
IDAF94232|G 131-C I1306A-M (5м шланг)|130бар,370л/ч,1700Вт,220В,3000об,11кг|153,4|2|5|,,,,,,
IDAF94233|G 131-C P I1306A-M (барабан,6,5м шланг)|130бар,370л/ч,1700Вт,220В,3000об,11кг|174,2|2|5|,,,,
IDAF94234|G 135-C I 1307A-M (8м шланг)|130бар,390л/ч,1900Вт,220В,2800об,16кг|296,4|2|5|,,,,,,
IDAF94235|G 135-C P I 1307A-M (барабан,12м шланг)|130бар,390л/ч,1900Вт,220В,2800об,16кг|322,4|2|5|,,,,,
IDAF94236|G 145-C I 1408A-M (8м шланг)|140бар,460л/ч,2000Вт,220В,2800об,18,5кг|314,6|2|5|,,,,,
IDAF94237|G 145-C P I 1408A-M (барабан,12м шланг)|140бар,460л/ч,2000Вт,220В,2800об,18,5кг|340,6|2|5|,,,,
IDAF94238|G151-C I1508A-M (8м шланг)|150бар,500л/ч,2500Вт,220В,2800об,22кг|401,7|2|5|,,,,,,
IDAF94239|G151-C P I1508A-M (барабан,12м шланг)|150бар,500л/ч,2500Вт,220В,2800об,22кг|435,5|2|5|,,,,,
IDAF94240|G 161-C I1610A-M (8м шланг)|160бар,600л/ч,3000Вт,220В,2800об,23кг|426,4|2|5|,,,,,,
IDAF94241|G 161-C P I1610A-M (барабан,12м шланг)|160бар,600л/ч,3000Вт,220В,2800об,23кг|457,6|2|5|,,,,,
IDAF94242|G 155-C I 1508AO-M (манометр,латунная помпа,8м шланг)|150бар,500л/ч,2500Вт,220В,2800об,23кг|460,2|2|5|,,,,
IDAF94243|G 155-C P I 1508AO-M (барабан,12м шланг,манометр,латунная помпа)|150бар,500л/ч,2500Вт,220В,2800об,23кг|491,4|2|5|,,,
IDAF94244|G 165-C I 1610AO-M (манометр,латунная помпа,8м шланг)|160бар,600л/ч,3000Вт,220В,2800об,24кг|488,8|2|5|,,,,
IDAF94245|G 165-C  P I 1610AO-M (барабан,12м шланг,манометр,латунная помпа)|160бар,600л/ч,3000Вт,220В,2800об,24кг|521,3|2|5|,,,
PPEL40058|MLC-C 1813 P (Стационарный настенный)|30-180бар,400-800л/ч,4700Вт,380В,2800об,30кг|650|2|6|,,,,,,,
PPEL40052|MLC-C 1915 P (Стационарный настенный)|30-190бар,450-900л/ч,5100Вт,380В,1400об,30кг|695,5|2|6|,,,,,,
PPEL40054|MLC-C 2117 P (Стационарный настенный)|30-210бар,500-1000л/ч,6400Вт,380В,1400об,47кг|864,5|2|6|,,,,,,
PPEL40059|MLC-C 1813 P D (Стационарный настенный)|30-180бар,400-800л/ч,4700Вт,380В,2800об,30кг|695,5|2|6|,,,,,,
PPEL40053|MLC-C 1915 P D (Стационарный настенный)|30-190бар,450-900л/ч,5100Вт,380В,1400об,30кг|734,5|2|6|,,,,,,
PPEL40055|MLC-C 2117 P D (Стационарный настенный)|30-210бар,500-1000л/ч,6400Вт,380В,1400об,47кг|903,5|2|6|,,,,,,
IDAF 40460|ML CMP 2840 T (на раме)|30-180бар,300-800л/ч,5100Вт,380В,2800об,40кг|928,2|2|7|,,,,,,
IDAF 40461|ML CMP 2860 T (на раме)|30-190бар,300-900л/ч,6500Вт,380В,1450об,50кг|960,7|2|7|,,,,,,
IDAF40462|ML CMP 3065 T (2960 T) (на раме)|30-200бар,300-1000л/ч,7500Вт,380В,1450об,50кг|1294,8|2|7|,,,,,,
IDAF 40463|ML CMP DS 2840 T (на раме)|30-180бар,300-800л/ч,5100Вт,380В,2800об,42кг|981,5|2|7|,,,,,,
IDAF 40464|ML CMP DS 2860 T (на раме)|30-190бар,300-900л/ч,6500Вт,380В,1450об,52кг|1014|2|7|,,,,,,,
IDAF94188|G-POWER C  1509P  M|30-150бар,300-540л/ч,3000Вт,220В,2800об,30кг|702|2|8|,,,,,,,
IDAF94194|G-POWER C I1509P  M|30-150бар,300-540л/ч,3000Вт,220В,2800об,30кг|744,9|2|8|,,,,,,
IDAF94192|G-POWER C  1813P  T|30-180бар,400-800л/ч,5000Вт,380В,2800об,30кг|767|2|8|,,,,,,,
IDAF94198|G-POWER C I1813P  T|30-180бар,400-800л/ч,5000Вт,380В,2800об,30кг|802,1|2|8|,,,,,,
IDAF40414|N.ELITE-C 1310P M (NEW ELITE HH 1910 M)|30-130бар,300-600л/ч,3000Вт,220В,2800об,44кг|834,6|2|8|,,,,,,
IDAF 40547|N.ELITE-C 1310P M с пенокомплектом всборе|30-130бар,300-600л/ч,3000Вт,220В,2800об,44кг|865,8|2|8|,,,,,,
IDAF40418|N.ELITE-C 1813P T (NEW ELITE HH 2840 T)|30-180бар,400-800л/ч,5300Вт,380В,2800об,44кг|834,6|2|8|,,,,,,
IDAF 40548|N.ELITE-C 1813P T с пенокомплектом всборе|30-180бар,400-800л/ч,5300Вт,380В,2800об,44кг|865,8|2|8|,,,,,,
IDAF 40337|TORNADO А130 (ELITE 1910T) без аксессуаров|30-130бар,300-600л/ч,3000Вт,220В,2800об,44кг|806|2|8|,,,,,,,
IDAF 30633|ELITE 1910 M|30-130бар,300-600л/ч,3000Вт,220В,2800об,44кг|899,6|2|8|,,,,,,
IDAF 40338|TORNADO А180  (ELITE 2840T) без аксессуаров|30-190бар,390-780л/ч,5300Вт,380В,2800об,44кг|806|2|8|,,,,,,,
IDAF 27654|ELITE 2840 T|30-190бар,390-780л/ч,5300Вт,380В,2800об,44кг|899,6|2|8|,,,,,,
IDAF 40434|N.ELITE-C 1915P4 T (NEW ELITE HL 2860 T)|30-190бар,450-900л/ч,5400Вт,380В,1400об,44кг|977,6|2|8|,,,,,,
IDAF 40416|N.ELITE-C I1310P M (NEW ELITE ISHH 1910 M)|30-130бар,300-600л/ч,3000Вт,220В,2800об,44кг|872,3|2|8|,,,,,,
IDAF 42300|ELITE DSHL 1910 M|30-130бар,300-600л/ч,3000Вт,220В,2800об,44кг|1047,8|2|8|,,,,,,
IDAF 40420|N.ELITE-C I1813P T (NEW ELITE ISHH 2840 T)|30-180бар,400-800л/ч,5300Вт,380В,2800об,44кг|872,3|2|8|,,,,,,
IDAF 42302|ELITE DSHH 2840 T|30-190бар,390-780л/ч,5300Вт,380В,2800об,44кг|1047,8|2|8|,,,,,,
IDAF 40345|ROYAL-C 2117 P (ROYAL-C 2217 P)|30-210бар,450-1000л/ч,7000Вт,380В,1400об,67кг|1118|2|8|,,,,,,,
IDAF 40194|NEW ROYAL 3160 T |30-210бар,450-1000л/ч,6500Вт,380В,1400об,67кг|1118|2|8|,,,,,,,
IDAF 40346|ROYAL-C D2117 P (ROYAL-C D2217 P)|30-210бар,450-1000л/ч,6500Вт,380В,1400об,67кг|1339|2|8|,,,,,,,
IDAF 40214|NEW ROYAL  DSHH 3160 T|30-210бар,450-1000л/ч,6500Вт,380В,1400об,67кг|1245,4|2|8|,,,,,,
IDAF 42326|ROYAL PRESS DSPL 3060 T|30-215бар,475-960л/ч,7000Вт,380В,1400об,67кг|1402,7|2|8|,,,,,,
IDAF 42307|ROYAL PRESS DSPL 2880 T|30-180бар,650-1300л/ч,8000Вт,380В,1400об,67кг|1402,7|2|8|,,,,,,
IDAF 89839|EVOLUTION X5 DS 3670 T|30-250бар,1000л/ч,9500Вт,380В,1450об,72кг|2082,6|2|8|,,,,,,
IDAF 43212|SIBI MAX 5160 T|350бар,900л/ч,12000Вт,380В,1400об,150кг|3993,6|2|8|,,,,,,
IDAF 40352|BENZ H 1811 Pi P (BENZ HS 2620P)|30-180бар,330-660л/ч,6,5л.с.,GX200(тип двиг.),3600об,47кг|1419,6|2|9|,,,,,
IDAF 40355|BENZ C H DL 2515 PiP (BENZ HS 3860P/DL)|30-250бар,450-900л/ч,13л.с.,GX390(тип двиг.),3600об,75кг|2327|2|9|,,,,,,,
IDAF 40358|BENZ C L DL 2217 PiP (BENZ LS 3160P/DL)|30-220бар,500-1000л/ч,13л.с.,GX390(тип двиг.),1500об,85кг|2511,6|2|9|,,,,,,
IDAC 44018|UNIVERSE DS 2640 T 4|30-180бар,390-780л/ч,120-65гр,5300Вт,380В,2800об,95кг|2194,4|2|10|,,,,,
IDAC 47354|OPTIMA CMP DS 149 M|30-140бар,270-540л/ч,140-30гр,3300Вт,220В,1400об,105кг|2627,3|2|10|,,,,,
IDAC 47356|OPTIMA CMP DS 1714 T|30-170бар,420-840л/ч,140-30гр,6000Вт,380В,1400об,109кг|2702,7|2|10|,,,,,
IDAC 38941|SILVER JET DS 2930 T|30-200бар,400-800л/ч,30-140гр,5300Вт,380В,2800об,105кг|2366|2|10|,,,,,,
IDAC 45465|MIS JET PROFY DS 2880 T|30-190бар,630-1260л/ч,30-140гр,8500Вт,380В,1400об,165кг|3467,1|2|10|,,,,,
IDAC 44520|HPS DS 2015 T|40-200бар,450-900л/ч,30-140гр,7100Вт,380В,1400об,205кг|3989,7|2|10|,,,,,
CDVE 49715|FIRE BOX 30 M|175бар,360-1260л/ч,140гр,3000Вт,220В,107,8кг|1744,6|2|11|,,,,,
CDVE 49716|FIRE BOX 40 M|200бар,360-1260л/ч,140гр,3000Вт,220В,110,8кг|1808,3|2|11|,,,,,
LPTE00598|LAVAMATIC 15 C 35 (LAVAMATIC 360 E)|1300м2/ч,220В,35см,16л/19л,37,5кг|1675,7|2|12|,,,,,,
LPTB06929|LAVAMATIC 15 B 35 (LAV. 360 B (бат. + зар. устр.))|1300м2/ч,35см,16л/19л,24V (2*12V),59кг (вес с батареями)|2330,9|2|12|,,,,,,,
LPTB01525|LAVAMATIC 30 B 45 (бат. + зар. устр.)|1670м2/ч,45см,28л/30л,24V (2*12V)|3185|2|12|,,,,,,,,,
LPTB00599|LAVAMATIC 30 C 45|1670м2/ч,45см,28л/30л,220В|2085,2|2|12|,,,,,,,,
LPTB02630|LAVAMATIC 45 B 50 (бат. + зар. устр.)|1750м2/ч,50см,40л,/45л,24V (2*12V) |3412,5|2|12|,,,,,,,
LPTB00597|LAVAMATIC 45 C 50|1750м2/ч,50см,40л/45л |2337,4|2|12|,,,,,,,,,
LPTE00600|LAVAMATIC 40 C 50 (LAVAMATIC 501 E 2012)|1750м2/ч,50см,40л/50л,67кг |2596,1|2|12|,,,,,,,,
LPTB01548|LAVAMATIC 40 B 50 (LAV. 501 B (бат. + зар. устр.))|1750м2/ч,50см,40л,/50л,24V (2*12V),83кг |4680|2|12|,,,,,,,
LPTB01549|LAVAMATIC 70 BT 55 (бат. + зар. устр.)|2475м2/ч,55см,70л/75л,24V (2*12V) |6580,6|2|12|,,,,,,,,
LPTB01550|LAVAMATIC 70 BT 60 (бат. + зар. устр.)|2700м2/ч,60см,70л/75л,24V (2*12V) |6988,8|2|12|,,,,,,,,
LPTB01552|LAVAMATIC 100 BT 70 (бат. + зар. устр.)|3150м2/ч,70см,100л/110л,24V(4*6V)|11182,6|2|12|,,,,,,,,
LPTB01553|LAVAMATIC 100 BT 85 (бат. + зар. устр.)|3825м2/ч,85см,100л/110л,24V(4*6V)|11975,6|2|12|,,,,,,,,
LPTB02735|CT 80 BT 55 RIDER(бат. + зар. устр.)|3300м2/ч,55см,80л/85л,24V (2*12V),118кг|6847,1|2|12|,,,,,,,
LPTB01551|LAVAMATIC 70 BT 70 RIDER (бат. + зар. устр.)|3150м2/ч,70см,70л/75л,24V (2*12V)|8362,9|2|12|,,,,,,,,
ASDO 40028|MIRAGE 1 W 1 26 S (MIRAGE 1215)|1050Вт,220В,170м3/ч,25л,10кг|271,7|2|13|,,,,,,,
ASDO 40029|MIRAGE 1 W 1 32 S (MIRAGE 1515)|1050Вт,220В,170м3/ч,32л,10кг|308,1|2|13|,,,,,,,
ASDO 40030|MIRAGE 1 W 2 61 S GA (MIRAGE 1529 GA)|2*1050Вт,220В,340м3/ч,62л,15,5кг|503,1|2|13|,,,,,,
ASDO 40031|MIRAGE 1 W 3 61 S GA (MIRAGE 1540 GA)|3*1050Вт,220В,510м3/ч,62л,15,5кг|605,8|2|13|,,,,,,
ASDO 40032|MIRAGE 1 W 2 76 S (MIRAGE 1629)|2*1050Вт,220В,340м3/ч,78л,24кг|625,3|2|13|,,,,,,,
ASDO 40033|MIRAGE 1 W 3 76 S (MIRAGE 1640)|3*1050Вт,220В,510м3/ч,78л,26кг|717,6|2|13|,,,,,,,
ASDO 40034|PLUS 1 W 1 22 P (MIRAGE SUPER)|1000Вт,220В,170м3/ч,22л,10,5кг|331,5|2|14|,,,,,,
ASDO 40035|PLUS 1 W 1 32 S (MIRAGE PLUS)|1000Вт,220В,170м3/ч,32л,11,5кг|504,4|2|14|,,,,,,
ASDO 40036|PLUS 1 W 2 60 S GA (MIRAGE EXTRA MAX)|2*1050Вт,220В,340м3/ч,78л,26кг|1154,4|2|14|,,,,,,,
GNVA 47891|New Steamy S 5008 M (NEW STEAMY)|5бар,140град.,220В,3000Вт,50-170м3/ч,2,7л,12кг|930,8|2|15|,,,,
GNVA 46653|Steamer Jet S 5010 M (STEAMER JET M II)|5бар,150град.,220В,3500Вт,170м3/ч,3,5л,43кг|3026,4|2|15|,,,,
E2D2013      |EVOLUTION E2D2013 (без регулятора)|Поток воды 780 л/ч; Рабочее давление 200 бар; Обороты двигателя 2800 об/мин; Мощность 5,0 кВ;т Вес 7 кг|260|11|16|
E2D2013V    |EVOLUTION E2D2013 (с регулятором)|Поток воды 780 л/ч; Рабочее давление 200 бар; Обороты двигателя 2800 об/мин; Мощность 5,0 кВ;т Вес 7 кг|296,4|11|16|,,,,,,,,,,
E2B2014|EVOLUTION E2B2014|Поток воды 840 л/ч; Рабочее давление 200 бар; Обороты двигателя 1450 об/мин; Мощность 5,37 кВ;т Вес 7,0 кг|262,6|11|16|,,,,,,,,,
E3B2121|EVOLUTION E3B2121 |Поток воды 1260 л/ч; Рабочее давление 210 бар; Обороты двигателя 1450 об/мин; Мощность 8,46 кВ;т Вес 9,5 кг|325|11|16|,,,,,,,,,,
E3B2515  |EVOLUTION E3B2515 (без регулятора)|Поток воды 900 л/ч; Рабочее давление 250 бар; Обороты двигателя 1450 об/мин; Мощность 7,13 кВ;т Вес 9,5 кг|325|11|16|,,,,,,,,,,
E3B2515V|EVOLUTION E3B2515 (с регулятором) |Поток воды 900 л/ч; Рабочее давление 250 бар; Обороты двигателя 1450 об/мин; Мощность 7,13 кВ;т Вес 9,5 кг|365,3|11|16|,,,,,,,,,
130003|W130 с регулятором|Поток воды 570 л/ч; Рабочее давление 130 бар; Обороты двигателя 1450 об/мин; Мощность 2,2 кВ;т Вес 7,9 кг Совместимость: для Elite 1910,DSHL1910                                          |374,4|11|17|,,,,,,,,
WW0186V|WW186 с регулятором|Поток воды 780 л/ч; Рабочее давление 180 бар; Обороты двигателя 2800 об/мин; Мощность 4,04 кВ;т Вес 7,9 кг Совместимость: для Elite 2840,DSHH2840,SILVER JET 2930|388,7|11|17|,,,,,,,
010200UWS|WS102|Поток воды 1260 л/ч; Рабочее давление 180 бар; Обороты двигателя 1450 об/мин; Мощность 4,4 кВ;т Вес 14,5 кг Совместимость: для ROYAL PRESS 2880,MISTRAL 2880|412,1|11|17|,,,,,,,,
015100UWS|WS151|Поток воды 900 л/ч; Рабочее давление 200 бар; Обороты двигателя 1450 об/мин; Мощность 5,5 кВ;т Вес 14,5 кг Совместимость: для ROYAL PRESS 3060,HPS 2015   |386,1|11|17|,,,,,,,,
1513001|WW1513 (без регулятора)|Поток воды 780 л/ч; Рабочее давление 150 бар; Обороты двигателя 2800 об/мин; Мощность 3,67 кВ;т Вес 5,2 кг Совместимость: для UNIVERSE 2640|302,9|11|17|,,,,,,,,,
1513003|WW1513 (с регулятором)||378,3|11|17|
О1714001|EL1714 (без регулятора)|Поток воды 840 л/ч; Рабочее давление 170 бар; Обороты двигателя 1450 об/мин; Мощность 4,56 кВ;т Вес 8,05 кг Совместимость: для OPTIMA 1714|358,8|11|17|,,,,,,,,,
EL1714V-000|EL1714 (с регулятором)|Поток воды 840 л/ч; Рабочее давление 170 бар; Обороты двигателя 1450 об/мин; Мощность 4,56 кВ;т Вес 8,05 кг Совместимость: для OPTIMA 1714|449,8|11|17|,,,,,,,,,
131803 М (VER.007)*|M 13.180 Моноблок (АВД без нагрева воды) 380 В|Напряжение питания 380 В,Давление (бар) 30-180,Производительность (л/ч) 780 л/ч,Мощность 5,0 кВт Обороты двигателя 2800 об/мин Система управления BY-PASS (*Аппарат поставляется без шланга,пистолета и аксессуаров)|640,9|11|18|,,,,,,
101302 М (VER.007)*|M 10.130 Моноблок (АВД без нагрева воды) 220 В|Напряжение питания 220 В,Давление (бар) 30-130,Производительность (л/ч) 600 л/ч,Мощность 3,2 кВт Обороты двигателя 1400 об/мин Система управления BY-PASS (*Аппарат поставляется без шланга,пистолета и аксессуаров)|640,9|11|18|,,,,,,
NMT 1520R|HAWK Плунжерный насос высокого давления|Поток - л/м 15;  Макс. Давление - 200 бар; Обороты вала - 1450 об/мин ; Потребляемая мощность - 5,7 кВт ; Тип вала и диаметр - R. 24 мм ; Вес -9,5  кг |323,7|11|19|,,,,,,,,,
HD 1417R|HAWK Плунжерный насос высокого давления|Поток - л/м 15;  Макс. Давление - 200 бар; Обороты вала - 1450 об/мин ; Потребляемая мощность - 5,7 кВт ; Тип вала и диаметр - R. 24 мм ; Вес -9,5  кг|297,7|11|19|,,,,,,,,,
260077||Комплект сальников|54,86|11|20|
260078||Ремкомплект поршня|42,77|11|20|
260107||Поршень керамический|20,28|11|20|
260008||Клапан|6,11|11|20|
260803||Комплект сальников|4,55|11|20|
610005|Моноблок HAWK|Поток воды 15 л/м; Рабочее давление 200 бар; Обороты двигателя 1450 об/мин; Электропитание 380-400 В; Потребляемая мощность 5,5 кВт|747,5|11|21|,,,,,,,,,,
610003|Моноблок HAWK|Поток воды 14 л/м; Рабочее давление 170 бар; Обороты двигателя 1450 об/мин; Электропитание 380-400 В; Потребляемая мощность 4 кВт|682,5|11|21|
PPAP 40054|RC 10.12 D XN|Поток воды 600 л/ч; Рабочее давление 130 бар; Обороты двигателя 2800 об/мин; Мощность 3,0 кВ;т Вес 7,0 кг Совместимость: для NEW ELITE 1910|228,8|11|22|,,,,,,,,,
PPAP 40056|RCS 13.18 D XN|Поток воды 800 л/ч; Рабочее давление 180 бар; Обороты двигателя 2800 об/мин; Мощность 5,1 кВ;т Вес 7,0 кг Совместимость: для ML CMP 2840 (стационар)|228,8|11|22|,,,,,,,,,
PPAP 40039|RC 14.16 D XN|Поток воды 900 л/ч; Рабочее давление 190 бар; Обороты двигателя 1450 об/мин; Мощность 6,5 кВ;т Вес 7,2 кг Совместимость: для ML CMP 2860 (стационар)|228,8|11|22|,,,,,,,,,
PPAP 40058|RR 15.20 D XN   |Поток воды 1000 л/ч; Рабочее давление 210 бар; Обороты двигателя 1450 об/мин; Мощность 6,5 кВ;т Вес 7,6 кг Совместимость: для NEW ROYAL 3160,ML CMP 3065 (стационар)|312|11|22|,,,,,,,,,
G4559578P21E0|Электродвигатель EME T 90 L 2|Мощность - 4 кВт; Напряжение - 380 V; Об/мин - 2800; Тип вала - полый вал; Совместимость с помпами ВД: WW186,WW1513|267,8|11|23|,,,,,,,,,,
G5279578I41E0|Электродвигатель EME T 112 CE 2|Мощность - 5 кВт; Напряжение - 380 V; Об/мин - 2800; Тип вала - полый вал; Совместимость с помпами ВД: E2D2013V,EL1714,HD 1417R,RCS 13.18 D XN|338|11|23|,,,,,,,,,
H5579578I6100|Электродвигатель EME TP 112 L4|Мощность - 5,5 кВт; Напряжение - 380 V; Об/мин - 1450; Тип вала - полый вал; Совместимость с помпами ВД: E3B2515,NMT 1520R,RC 14.16 DXN,RR 15.20 DXN|326,3|11|23|,,,,,,,
H5579578X4100|Электродвигатель EME TP 112 L4|Мощность - 5,5 кВт; Напряжение - 380 V; Об/мин - 1450; Тип вала - с муфтой; Совместимость с помпами ВД: E3B2515,NMT 1520R,RC 14.16 D XN,RR 15.20 D XN|352,3|11|23|,,,,,,,
H5591178I91E0|Электродвигатель EME TP 112 L4|Мощность - 7,5 кВт; Напряжение - 380 V; Об/мин - 1450; Тип вала - полый вал; Совместимость с помпами ВД: (E3B2121,E3B2515,WS151)|512,2|11|23|,,,,,,,,
1350420B03030|Крыльчатка|Модель мотора: T 90L2 B3B14 KW 4/2P|3,185|11|24|
1350480005070||Модель мотора: T 112CE2 B3B14 KW 5/2P|3,406|11|24|
1350560000000||Модель мотора: TP 112L4 B3B14 KW 5,5/4P|2,47|11|24|,,,,,,,,,,
1350550000000||Модель мотора: T 112L4 B3B14 KW 7,5/4P|4,121|11|24|,,,,,,,,,,
1350560000000||Модель мотора: TP 112L4 B3B14 KW 5,5/4P|2,47|11|24|,,,,,,,,,,
1152424B03071|Фланец|Модель мотора: T 90L2 B3B14 KW 4/2P|19,214|11|24|
115149400510E||Модель мотора: T 112CE2 B3B14 KW 5/2P|29,094|11|24|
115255AC00000||Модель мотора: TP 112L4 B3B14 KW 5,5/4P|30,745|11|24|,,,,,,,,,,
1151554003180||Модель мотора: T 112L4 B3B14 KW 7,5/4P|22,113|11|24|,,,,,,,,,,
115255AC00000||Модель мотора: TP 112L4 B3B14 KW 5,5/4P|30,745|11|24|,,,,,,,,,,
1350420100000|Крепеж крыльчатки|Модель мотора: T 90L2 B3B14 KW 4/2P|0,351|11|24|
1350480100000||Модель мотора: T 112CE2 B3B14 KW 5/2P|1,04|11|24|
1350480100000||Модель мотора: T 112L4 B3B14 KW 7,5/4P|1,04|11|24|,,,,,,,,,,
1042550000000|Муфта|TP 112L4 B3B14 KW 5,5/4P|63,154|11|24|,,,,,,,,,,
SCO/25C|Lt 25 foamer (с стравливающим клапаном)|вертикальное исполнение|182|3|25|,
SCO/50C|Lt 50 foamer (с стравливающим клапаном)|вертикальное исполнение|245,31|3|25|
SCO/100C|Lt 100 foamer (с стравливающим клапаном)|вертикальное исполнение|387,231|3|25|
SCO/150|Lt 150 foamer (с стравливающим клапаном)|вертикальное исполнение|522,08|3|25|
SCX/24C|Lt 24 inox foamer (с стравливающим клапаном)|вертикальное исполнение|336,453|3|26|
SCX/50C|Lt 50 inox foamer (с стравливающим клапаном)|вертикальное исполнение|436,8|3|26|
SCX/100C|Lt 100 inox foamer (с стравливающим клапаном)|вертикальное исполнение|691,431|3|26|
NDE/24|Lt 24 sprayer|вертикальное исполнение|153,504|3|27|
NDE/50|Lt 50 sprayer|вертикальное исполнение|221,728|3|27|
Z135|Головная часть пеногенератора SCO/25C в сборе.||90,61|3|28|
Z136|Головная часть пеногенератора SCO/50C в сборе.||97,331|3|28|
Z139|Головная часть пеногенератора SCX/24C в сборе.||93,015|3|28|
