                             Аппараты высокого давления бытовые и полупрофессиональные без подогрева воды Соmeт! (Италия),,,,
001008014,"Байонет и нипеля ""Комета""",Давление: 390 bar    Температура: 90°    Расход воды: 50 l/min,14,
TPL-03PF(SS304),"Байонет и нипеля ""Комета""",Давление: 390 bar    Температура: 90°    Расход воды: 50 l/min,5.5,
К25045,"Форсунка ""Комета"" для Керхер",,6,
К25055,"Форсунка ""Комета"" для Керхер",,6,
М25030,"Форсунка ""Комета""",,5.5,
М25045,"Форсунка ""Комета""",,5.5,
1900531S,"Манометр ""Комета""",,38.39,
1963401 S,"Манометр ""Комета""",,38.39,
01900100,"Ручной барабан ВД ""Комета"" с фиксатором вращения",,144,
01900 300,"Держатель шланга ""Комета"" (нерж.)",,129,
000021422,"Курок ""Комета"" ",Давление: 350 bar    Температура: 150°    Расход воды: 40 l/min,30,
К021422-02,"Курок ""Комета"" ",Давление: 350 bar    Температура: 150°    Расход воды: 40 l/min,34,
К021422-03,"Курок ""Комета"" ",Давление: 350 bar    Температура: 150°    Расход воды: 40 l/min,37,
К021422-04,"Курок ""Комета"" ",Давление: 350 bar    Температура: 150°    Расход воды: 40 l/min,39,
000041438/К,"Курок ""Комета"" ",Давление: 350 bar    Температура: 150°    Расход воды: 40 l/min,70,
600.2503,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,14.46,
600.250245,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,14.5,
К3211424-20,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,26,
К3211436-21,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,27.3,
К3211424-30,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,21.45,
К3211436-31,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,23.4,
К3211424-40,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,26,
К3211436-41,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,28.6,
К3211424-50,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,26,
К3211436-51,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,28.6,
К3211424-60,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,18.2,
К3211436-61,"Струйная трубка ""Комета"" в сборе",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,19.5,
21422.600.2503,"Курок + струйная трубка ""Комета""",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,39,
К021436-10,"Курок + струйная трубка ""Комета""",Давление: 280 bar    Расход воды: 40 l/min    Температура: 160°,40,
000012223,"Пистолет ""Комета"" для АВД бытовой",Давление: 220 bar    Температура: 60°    Расход воды: 25 l/min,14.67,
000012238,"Пистолет ""Комета"" для АВД бытовой",Давление: 220 bar    Температура: 60°    Расход воды: 25 l/min,25.2,
